"","subj_idx","gender","year","rt","correct_response","correct","key_press","word","shape","condition"
"284",1,1,"2001",627,"arrowright","true","arrowright","朋友","朋友","matching_task"
"285",1,1,"2001",852,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"286",1,1,"2001",962,"arrowleft","true","arrowleft","朋友","自我","matching_task"
"287",1,1,"2001",NA,"arrowleft","false","null","自我","朋友","matching_task"
"288",1,1,"2001",864,"arrowright","true","arrowright","自我","自我","matching_task"
"289",1,1,"2001",888,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"290",1,1,"2001",763,"arrowright","true","arrowright","自我","自我","matching_task"
"291",1,1,"2001",766,"arrowright","true","arrowright","朋友","朋友","matching_task"
"292",1,1,"2001",768,"arrowright","true","arrowright","生人","生人","matching_task"
"293",1,1,"2001",949,"arrowleft","true","arrowleft","自我","朋友","matching_task"
"294",1,1,"2001",591,"arrowright","true","arrowright","自我","自我","matching_task"
"295",1,1,"2001",911,"arrowleft","true","arrowleft","自我","生人","matching_task"
"296",1,1,"2001",862,"arrowleft","true","arrowleft","朋友","自我","matching_task"
"297",1,1,"2001",1125,"arrowright","true","arrowright","朋友","朋友","matching_task"
"298",1,1,"2001",1230,"arrowleft","true","arrowleft","生人","自我","matching_task"
"299",1,1,"2001",NA,"arrowright","false","null","生人","生人","matching_task"
"300",1,1,"2001",875,"arrowleft","true","arrowleft","生人","朋友","matching_task"
"301",1,1,"2001",1032,"arrowleft","true","arrowleft","自我","朋友","matching_task"
"302",1,1,"2001",645,"arrowleft","false","arrowright","朋友","自我","matching_task"
"303",1,1,"2001",1001,"arrowright","true","arrowright","生人","生人","matching_task"
"304",1,1,"2001",811,"arrowright","false","arrowleft","自我","自我","matching_task"
"305",1,1,"2001",858,"arrowleft","true","arrowleft","生人","朋友","matching_task"
"306",1,1,"2001",1019,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"307",1,1,"2001",930,"arrowright","true","arrowright","朋友","朋友","matching_task"
"308",1,1,"2001",594,"arrowright","true","arrowright","朋友","朋友","matching_task"
"309",1,1,"2001",837,"arrowright","false","arrowleft","生人","生人","matching_task"
"310",1,1,"2001",739,"arrowleft","true","arrowleft","生人","自我","matching_task"
"311",1,1,"2001",868,"arrowleft","true","arrowleft","自我","生人","matching_task"
